,novel,words,sentences,entities,mentions_std,bert,elmo,gpt2,w2v
0,The_Tragical_History_of_Doctor_Faustus_b,19572,159,9,158.13566608734695,0.5926745192341323,0.5383645691597887,0.10114525985148663,0.6629464285714286
1,The_War_of_the_Worlds_by_H_G__Wells_,60568,68,4,15.451537140362444,0.5675440480060067,0.7292770366367778,0.10201116277906548,0.8333333333333333
2,Hard_Times_by_Charles_Dickens_,104646,1666,25,205.47291249358162,0.8273273387745076,0.888011584680198,0.2571761060673127,0.8051973684210527
3,Frankenstein_Or_The_Modern_Prometheus_,75083,349,12,29.8695078633713,0.5915471559819747,0.65814494371512,0.15176164193902167,0.7992424242424242
4,Treasure_Island_by_Robert_Louis_Stevenso,69172,570,17,79.16956529629395,0.5326157365460504,0.7575795307061084,0.12083451212341957,0.8492647058823529
5,Wuthering_Heights_by_Emily_Brontë_,118990,1411,24,215.67161633777866,0.8174516701536244,0.8648158862445964,0.3004713918940425,0.8145833333333333
6,The_Iliad_by_Homer_,191255,2217,53,154.0742979359077,0.5882444127392179,0.6720276890596796,0.10688895459836656,0.7287735849056605
7,Alices_Adventures_in_Wonderland_by_Lewi,26815,180,5,182.00879099647906,0.7061868999373826,0.6818693199373957,0.9993319272505498,0.825
8,Little_Women_by_Louisa_May_Alcott_,187088,2329,37,398.4158599112663,0.5065705882551382,0.5672968211266463,0.12350083414018607,0.5681818181818182
9,The_Sign_of_the_Four_by_Arthur_Conan_Doy,43348,407,11,44.70990054352134,0.4031538554601297,0.5807838091457956,0.04183050501945706,0.8045454545454547
10,Adventures_of_Huckleberry_Finn_by_Mark_T,113438,929,21,165.9717144576147,0.5680145055806951,0.7316937433365217,0.23750583721486215,0.7947368421052631
11,The_Turn_of_the_Screw_by_Henry_James_,42830,230,7,35.98752618361432,0.7256980256788177,0.7375008397358442,0.1713628870666478,0.6547619047619048
12,Uncle_Toms_Cabin_by_Harriet_Beecher_Sto,182482,3060,53,200.26367518848744,0.755091396739251,0.7926761314096392,0.19125926168500446,0.7424489795918368
13,The_Count_of_Monte_Cristo_Illustrated_b,460333,7915,83,483.04606225896185,0.8008463065608872,0.8167679475620868,0.4222055557974136,0.7975352112676055
14,The_Mysterious_Affair_at_Styles_by_Agath,56799,992,26,161.26521966741672,0.555323126897054,0.6259252838100933,0.22319781473901132,0.7175324675324675
15,Anne_of_Green_Gables_by_L_M__Montgomer,103379,1541,30,394.1060408425268,0.5412870894408655,0.6102143645397713,0.2336021737409801,0.6593915343915343
16,Emma_by_Jane_Austen_,158855,2663,49,297.0387739689841,0.8447711106049131,0.7670314170564732,0.20365414281282887,0.8300142247510669
17,The_Scarlet_Letter_by_Nathaniel_Hawthorn,84825,518,9,160.508066794703,0.8888886712208126,0.8915063479517774,0.49946264160816417,0.9791666666666666
18,Persuasion_by_Jane_Austen_,82975,1255,27,234.58973559252038,0.9460639252373391,0.8949503259008939,0.4119964298079701,0.9288537549407117
